"","CR_1D_1","CR_7D_1","CR_14D_1","CS_1D_1","CS_7D_1","CS_14D_1","TR_1D_1","TR_7D_1","TR_14D_1","TS_1D_1","TS_7D_1","TS_14D_1"
"GRMZM2G093020",207,431,424,69,98,90,236,481,604,61,143,55
"GRMZM2G476069",50,3,6,0,0,0,31,3,3,1,3,0
"GRMZM2G038677",10,181,88,0,0,0,17,82,61,0,1,0
"GRMZM2G049798",193,83,72,134,162,89,156,78,69,90,103,95
"GRMZM2G149576",3287,1865,1448,9474,12846,12384,2067,2060,1525,8834,13963,12301
"GRMZM2G056975",1267,656,546,4033,4731,3600,786,1040,832,4307,5238,3795
"GRMZM2G150864",721,283,215,972,970,832,481,183,280,882,866,642
"GRMZM2G060866",416,137,94,2779,1739,295,197,171,107,2560,1513,230
"GRMZM2G149636",510,153,104,3342,2455,553,305,92,181,3149,2495,470
"GRMZM2G031354",15,87,47,6878,5758,3756,22,24,46,4754,5935,2954
"GRMZM2G057616",4643,2792,2367,2537,2216,1956,2935,2680,3836,2484,2553,1822
"GRMZM2G342907",50,123,137,22,16,5,41,144,197,12,16,7
"GRMZM2G396856",1184,689,337,588,345,173,628,793,360,461,386,146
"GRMZM2G135536",6109,3013,1501,0,0,0,4580,2205,2018,0,2,0
"GRMZM2G414791",832,333,253,1,2,0,395,465,348,4,3,0
"GRMZM2G413887",17,48,42,1,2,1,22,50,45,1,5,0
"GRMZM2G468521",13,1,2,1,1,0,11,3,0,2,0,0
"GRMZM2G116204",138,277,271,750,843,697,135,319,367,752,881,638
"GRMZM2G051842",1151,2067,1395,143,131,108,1088,1974,1225,144,132,102
"GRMZM2G089803",558,110,18,0,1,0,369,207,36,0,0,0
"GRMZM2G010779",26,112,88,17,23,24,30,95,88,10,22,26
"GRMZM2G085964",117,597,338,10,9,3,262,339,263,13,11,1
"GRMZM2G066142",4789,2326,1123,0,0,0,3477,1565,1531,1,2,0
"GRMZM2G319123",52,10,11,14,6,2,22,12,26,16,4,2
"GRMZM2G131421",172,999,514,1,0,0,192,486,254,0,0,0
"AC209784.3_FG007",367,144,43,60,29,3,177,290,34,58,48,9
"GRMZM2G102138",312,56,78,176,6,1,239,20,99,188,29,0
